"Name","Organisation","Branch","Type","Country","Building","Address","Postcode","L1","L2","L3","L4","Lat","Lon","Phone1","Phone2","Email","Fax","Comments"
"Çeviri Derneği Afette Rehber Çevirmenlik Organizasyonu","Çeviri Derneği Afette Rehber Çevirmenlik Organizasyonu",,,,,"Demirtaş Mh. Ayrancı Sk.14 Fatih İstanbul",,,,,,,,,,,,
"Ceza İnfaz Sisteminde Sivil Toplum Derneği","Ceza İnfaz Sisteminde Sivil Toplum Derneği",,,,,"Kamer Hatun Mahallesi, Hamalbaşı Caddesi Üstündağ İş Merkezi No: 14 / 139 Beyoğlu-İstanbul",,,,,,,,,,,,
"Çocukla Yaşam Derneği","Çocukla Yaşam Derneği",,,,,"Sırapınar Mah. Beykoz Cad. No:46/AE Çekmeköy İstanbul",,,,,,,,,,,,
"Çağdaş Yaşamı Destekleme Derneği","Çağdaş Yaşamı Destekleme Derneği",,,,,"Evliya Çelebi Mah. Şimal Sokak No:10 Şişhane -İstanbu",,,,,,,,,,,,
"Foça Forum","Foça Forum",,,,,"152. Sok. No. 12 Foça İzmir",,,,,,,,,,,,
"Gıda Bankacılığı ve Temel İhtiyaç Derneği","Gıda Bankacılığı ve Temel İhtiyaç Derneği",,,,,"Altayçeşme Mah. Samanyolu Sok. No:18 Maltepe/İstanbul",,,,,,,,,,,,
"Hayata Destek Derneği / Support To Life","Hayata Destek Derneği / Support To Life",,,,,"Katip Salih Sok. 48/1 Koşuyolu",,,,,,,,,,,,
"Kadınlarla Dayanışma Vakfı","Kadınlarla Dayanışma Vakfı",,,,,"Kamerhatun mah. hamalbaşı caddedi, No:22/13Beyoğlu-İstanbul",,,,,,,,,,,,
"Kimse Yok Mu Dayanaışma ve Yardımlaşma Derneği","Kimse Yok Mu Dayanaışma ve Yardımlaşma Derneği",,,,,"Mimar Sinan Mah. Basra Cad. No:24 Sultanbeyli / İstanbul",,,,,,,,,,,,
"Mahalle Afet Gönüllüleri Vakfı","Mahalle Afet Gönüllüleri Vakfı",,,,,"Halaskargazi Cad. No:175/6 Şişli/İstanbul",,,,,,,,,,,,
"Mavi Kalem Sosyal Yardımlaşma ve Dayanışma Vakfı","Mavi Kalem Sosyal Yardımlaşma ve Dayanışma Vakfı",,,,,"Balat Mah. Yıldırım cad. No:24 34087 Fener Fatih istanbul",,,,,,,,,,,,
"Psikolojik Danışmanlar Derneği","Psikolojik Danışmanlar Derneği",,,,,"Kooperatifler Mah. Akkoyunlu 4. Sok. Birlik Apt. Kat:3/8 Ofis Yenişehir/Diyarbakır",,,,,,,,,,,,
"Sosyal İnovasyon Merkezi","Sosyal İnovasyon Merkezi",,,,,"Koşuyolu Cad. No:108/1 Kadıköy İstanbul",,,,,,,,,,,,
"Tüvana Okuma İstekli Çocuk Eğitim Vakfı","Tüvana Okuma İstekli Çocuk Eğitim Vakfı",,,,,"Barbaros Bulvarı Eser Apartmanı No: 78/6 Balmumcu Beşiktaş/İstanbul",,,,,,,,,,,,
"Toplumsal Afet Derneği","Toplumsal Afet Derneği",,,,,"19 mayıs mah. aşçılar sok. no:26/a şişli/İstanbul",,,,,,,,,,,,
"TÜRK PSİKOLOGLAR DERNEĞİ","TÜRK PSİKOLOGLAR DERNEĞİ",,,,,"Meşrutiyet Cad. 22/12 Çankaya Ankara",,,,,,,,,,,,
"Türkiye Kurumsal Sosyal Sorumluluk Dernegi","Türkiye Kurumsal Sosyal Sorumluluk Dernegi",,,,,"Kadir Has Cad. 34230-01 Cibali-Fatih / İstanbul",,,,,,,,,,,,
"YEŞEREN DÜŞLER DERNEĞİ","YEŞEREN DÜŞLER DERNEĞİ",,,,,"Ergazi Mah., Köyiçi Serpmeevler Sok. No:309, Batıkent/Ankara",,,,,,,,,,,,
