Organisation,Acronym,Website,Logo,Comments,Type,Country,Phone,Phone2,Email
Çeviri Derne_i Afette Rehber Çevirmenlik Organizasyonu,,,,,,TR,212-5117975,212-5117975,arc@ceviridernegi.org
Ceza _nfaz Sisteminde Sivil Toplum Derne_i,CISST,http://www.cezaevindestk.org/,http://sitap.org/wp-content/uploads/2014/10/cisst-logo-avatar.jpg,"2006 y_l_ ba_lar_nda; cezaevlerinde çal__ma deneyimi olan, ya da bu konuda çal__maya gönüllü olan Sivil Toplum Kurulu_lar_ temsilcileri, Anadolu Kültür öncülü_ünde cezaevlerinin sorunlar_ ve STK’lar_n bu sorunlar_ çözmeye ne ölçüde bir katk_ sa_layabilecekleri konusunda bilgi ve görü_ al__veri_inde bulunmu_lard_r. Bu toplant_lar s_ras_nda daha etkili olabilmek için cezaevleri çal__malar_n_ bütünüyle kapsayan bir dernek olu_turulmas_ konusu s_k s_k dile getirilmi_tir. Bu çal__malara kat_lan baz_ temsilciler, farkl_ tiplerdeki 15 ayr_ cezaevini ziyaret edip, toplant_larda bugüne kadar gelinen nokta ve uzun vadedeki hedefler hakk_nda hükümlü ve tutuklulara, cezaevleri müdürlerine ve savc_lar_na bilgi vermi_ ve bu cezaevlerindeki iyile_tirme çal__malar_, ihtiyaç ve sorunlar hakk_nda bilgi alm__lard_r. ",,TR,212 2936982,212 2936982,info@cezaevindestk.org
Çocukla Ya_am Derne_i,cocuklayasam,http://www.cocuklayasam.org.tr,"""http://sitap.org/wp-content/uploads/2014/09/logo-avatar.jpg",Büyük_ehirlerin k_rsal mahalleri ba_ta olmak üzere geri kalm__ bölgelerde çocuk yoksullu_una ba_l_ sorunlara yönelik çal__malar yapmak,,TR,2164358068,,
Ça_da_ Ya_am_ Destekleme Derne_i,CYDD,http://www.cydd.org.tr/,http://sitap.org/wp-content/uploads/2014/11/cydd-avatar.jpeg,"Atatürk ilke ve devrimlerini ve Cumhuriyet'in kazan_mlar_n_ koruma yolunda, bilimsel dü_ünme ve sorgulama yetilerini geli_tiren, insan haklar_na sayg_l_, ça_da_ bir ya_am ve e_itim için çözüm üretmek ve kamuoyu olu_turmakt_r.",,TR,0212 252 44 33,0 212 252 65 95,cydd@cydd.org.tr
Foça Forum,FOCA FORUM,http://sitap.org/uyelik/uyeler/,http://sitap.org/wp-content/uploads/2015/02/FOÇA-FORUM-KARE1-avatar.jpg,"Bu grup, Foça ilçesinde ya_ayan yurtta_lar_n ya_ad_klar_ bölge sorunlar_n_ dile getirmek, tart__mak, bilgilenmek, çözüm yollar_ aramak amac_yla bir araya gelmi_tir. Ayn_ _ekilde, ülke ve dünyadaki geli_meler, sorunlar hakk_nda dü_üncelerini belirtmek, tart__mak amac_n_ da ta__maktad_r. Grup tart__malar_, “Forum” mant___nda sürdürülmektedir. Halktan yana olan herkesi birle_tirici olmay_ gözetmektedir. Üyeler, birbirlerine birlikte ya_aman_n gerektirdi_i sayg_ ile yakla__rlar.",,TR,0232-7251200,0232-7251200,
G_da Bankac_l___ ve Temel _htiyaç Derne_i,GBtider,http://www.gbtider.org,http://sitap.org/wp-content/uploads/2014/12/gbtider_logo_7cmX7cm_300dpi-avatar.jp,"Temel ihtiyaçlara ula__m her bireyin ya_amsal hakk_d_r. GBtider ailesi olarak, Türkiye’de özellikle dezavantajl_ kesimin temel kaynaklara düzenli eri_imini ve sürdürülebilir biçimde i_ gücüne kat_lmas_n_ te_vik etmeye yönelik çal__maktay_z.",,TR,0216 709 08 80,,info@gbtider.org
Hayata Destek Derne_i / Support To Life,Hayata Destek Derne_i / Support To Life,http://hayatadestek.org,http://sitap.org/wp-content/uploads/2014/11/hayatadestek-logo-kareson-avatar.jpg,"Hayata Destek, afet risk ve etkilerinin en aza indirilmesi için Türkiye ve çevre ülkelerde afete haz_rl_k, risk azaltma, acil müdahale ve iyile_tirme çal__malar_ yapan bölgesel bir insani yard_m kurulu_u.",,TR,2163362262,2163362925,info@hayatadestek.org
Kad_nlarla Dayan__ma Vakf_,KADAV,http://kadav-ist.org/,http://sitap.org/wp-content/uploads/2014/09/logo-ort-avatar.png,Her alanda Toplumsal Cinsiyet E_itli_inin sa_lanmas_na katk_ sunmak</div>,,TR,212.251 58 50,212. 251 58 50,info@kadav-ist.org
Kimse Yok Mu Dayana__ma ve Yard_mla_ma Derne_i,Kimse Yok Mu,http://www.kimseyokmu.org.tr,http://sitap.org/wp-content/uploads/2015/01/Kare-Logo1-avatar.jpg,"Misyonumuz Toplumun yard_m de_erlerini etkin hale getirerek din, dil, _rk, cinsiyet fark_  gözetmeksizin, sayg_nl_klar_n_ koruma hassasiyetiyle yurt içi ve yurt d___ndaki ihtiyaç sahiplerine acil ve kal_c_ çözümler üretmek,",,TR,0 216 521 8080,0 216 520 16 16,info@kimseyokmu.org.tr
Mahalle Afet Gönüllüleri Vakf_,mag vakfi,http://www.mag.org.tr,"http://sitap.org/wp-content/uploads/2014/10/Capture21-avatar.jpg""","Mahalle Afet Gönüllüleri (MAG) Vakf_ Türkiye'nin afetlere haz_rl_kl_ olmas_n_ sa_lamak üzere olu_turulmu_ bir sivi giri_imdir. __ adamlar, kanaat önderleri, medya mensuplar_, sanatç_lar ve akademisyenlerden olu_an bir grup giri_imci Vakf_ olu_turmak üzere 2007 y_l_nda bir araya gelmi_lerdir. Vakf_n misyonu bir afet meydana gelmesi durumunda mümkün oldu_unca az say_da can kayb_n_n olu_mas_n_ sa_lamakt_r. Bu amaçla Vak_f; ",,TR,212 296 54 90,212 296 21 20,vakif@magvakfi.org.tr
Mavi Kalem Sosyal Yard_mla_ma ve Dayan__ma Vakf_,MASED,https://www.facebook.com/groups/264126530464840/,http://sitap.org/wp-content/uploads/2015/02/MASED-LOGO-avatar.jpg,Zihin engelli çocuklar_m_z_n e_itimlerine destek sa_lamak üzere spor faaliyetleri ve di_er sosyal faaliyetler,,TR,,,
MaviKalem,MaviKalem,http://www.mavikalem.org,http://sitap.org/wp-content/uploads/2014/09/mavikalem-logo-avatar.jpg,"Mavi Kalem, gönüllülü_ün bir ya_am biçimi oldu_u fikri etraf_nda olu_mu_tur.",,TR,2125344133,,mavikalem@mavikalem.org
Psikolojik Dan__manlar Derne_i,pdder,http://www.pdder.org.tr,http://sitap.org/wp-content/uploads/2014/12/logo-copy-avatar.jpg,Psikolojik Dan__manlar Derne_i'nin; ,,TR,5062090559,,bilgi@pdder.org.tr
Sosyal _novasyon Merkezi,SIM,http://www.sosyalinovasyonmerkezi.com.tr,http://sitap.org/wp-content/uploads/2014/09/logo_TR-avatar.jpg,"Var olan toplumsal, kültürel, ekonomik ve çevresel sorunlara yenilikçi çözümler üretecek toplumsal yenile_me projeleri gerçekle_tirmek; bu amaçla u_ra_ veren birey, grup ve kurumlar_n bir araya geldi_i bir bulu_ma noktas_ olmak",,TR,2164289666,,info@sosyalinovasyonmerkezi.com.tr
Tüvana Okuma _stekli Çocuk E_itim Vakf_,TOCEVC,http://www.tocev.org.tr,http://sitap.org/wp-content/uploads/2014/09/S_YAHLOGO-avatar.jpg,tatürk ilke ve ink_lâplar_n_ benimsemektedir. ,,TR,2122828916,,info@tocev.org.tr
Toplumsal Afet Derne_i,Toplumsal Afet Platformu,http://www.toplumsalafetplatformu.org/,http://sitap.org/wp-content/uploads/2014/11/DENEME-avatar.jpg,"Toplumsal Afet Platformu; _nsan sayg_nl___n_n korunmas_ do_rultusunda her ko_ulda,yerde ve zamanda muhtaç veya korumas_z insanlara yard_m etmek ayn_ zamanda toplumun afetlerle mücadele kapasitesinin geli_tirilmesini desteklemeyi hedefleyen bir dayan__mad_r",,TR,5076813000,,toplumsalafetplatformu@gmail.com
TÜRK PS_KOLOGLAR DERNE__,TPD,http://www.psikolog.org.tr/,http://sitap.org/wp-content/uploads/2014/09/Logo-1-avatar.jpg,"Türk Psikologlar Derne_i, Türkiye’de Psikoloji Bilimi ve kurulu_lar_n_n ça_da_ düzeye ula_mas_n_, psikologlar_n mesleki haklar_n_n korunmas_n_ ve ulusal psikoloji sorunlar_n_n çözümlenmesini, ülkemizin bu anlamdaki birikimlerini ortaya koymak do_rultusunda çal__malarda bulunmak, psikologlar aras_nda birlik, beraberlik ve dayan__ma sa_layarak, psikoloji biliminin ve mesle_inin ülkemizde tan_t_lmas_, geli_tirilmesi ve toplumun yarar_na kullan_lmas_ için çal__malarda bulunmak; sa_l_k, e_itim, endüstri, i_letme, adalet, askerlik, kitle ileti_imi, güvenlik kuvvetleri, yay_n hizmetleri, din, dil, ileti_im, sosyal hizmetler, siyaset, sanat ve psikolojinin di_er uygulama alanlar_nda psikoloji biliminin ülkemize katk_lar_n_ artt_rmak ve meslek elemanlar_n_n standartlar_n_ yükseltmek ve haklar_n_n korunmas_n_ sa_lamak, mesle_e ayk_r_ davrananlar hakk_nda ilgili birimlere duyuruda bulunmak amac_ ile kurulmu_tur.</div>",,TR,0 312 425 67 65,0 312 417 40 59,bilgi@psikolog.org.tr
